SiteCode,TimePoint,NO2_obs
1001A,2019/1/14 8:00,97
1002A,2019/1/14 8:00,31
1003A,2019/1/14 8:00,92
1004A,2019/1/14 8:00,90
1005A,2019/1/14 8:00,86
1006A,2019/1/14 8:00,73
1007A,2019/1/14 8:00,69
1008A,2019/1/14 8:00,51
1009A,2019/1/14 8:00,37
1010A,2019/1/14 8:00,49
1011A,2019/1/14 8:00,74
1012A,2019/1/14 8:00,71
1015A,2019/1/14 8:00,81
1017A,2019/1/14 8:00,91
1018A,2019/1/14 8:00,90
1019A,2019/1/14 8:00,76
1021A,2019/1/14 8:00,86
1023A,2019/1/14 8:00,125
1024A,2019/1/14 8:00,88
1026A,2019/1/14 8:00,120
1027A,2019/1/14 8:00,68
1029A,2019/1/14 8:00,80
1030A,2019/1/14 8:00,101
1031A,2019/1/14 8:00,101
1032A,2019/1/14 8:00,110
1033A,2019/1/14 8:00,105
1034A,2019/1/14 8:00,106
1035A,2019/1/14 8:00,21
1036A,2019/1/14 8:00,126
1037A,2019/1/14 8:00,110
1038A,2019/1/14 8:00,109
1039A,2019/1/14 8:00,91
1040A,2019/1/14 8:00,108
1041A,2019/1/14 8:00,113
1042A,2019/1/14 8:00,52
1043A,2019/1/14 8:00,72
1044A,2019/1/14 8:00,76
1046A,2019/1/14 8:00,75
1047A,2019/1/14 8:00,50
1048A,2019/1/14 8:00,48
1049A,2019/1/14 8:00,47
1050A,2019/1/14 8:00,54
1051A,2019/1/14 8:00,101
1052A,2019/1/14 8:00,97
1053A,2019/1/14 8:00,76
1054A,2019/1/14 8:00,96
1055A,2019/1/14 8:00,80
1056A,2019/1/14 8:00,98
1057A,2019/1/14 8:00,25
1059A,2019/1/14 8:00,32
1060A,2019/1/14 8:00,24
1061A,2019/1/14 8:00,12
1062A,2019/1/14 8:00,54
1063A,2019/1/14 8:00,40
1064A,2019/1/14 8:00,43
1065A,2019/1/14 8:00,45
1066A,2019/1/14 8:00,39
1067A,2019/1/14 8:00,79
1068A,2019/1/14 8:00,94
1070A,2019/1/14 8:00,90
