NO2,station_code,pubtime 
97,1001A,2019/1/14 8:00
31,1002A,2019/1/14 8:00
92,1003A,2019/1/14 8:00
90,1004A,2019/1/14 8:00
86,1005A,2019/1/14 8:00
73,1006A,2019/1/14 8:00
69,1007A,2019/1/14 8:00
51,1008A,2019/1/14 8:00
37,1009A,2019/1/14 8:00
49,1010A,2019/1/14 8:00
74,1011A,2019/1/14 8:00
71,1012A,2019/1/14 8:00
81,1015A,2019/1/14 8:00
91,1017A,2019/1/14 8:00
90,1018A,2019/1/14 8:00
76,1019A,2019/1/14 8:00
86,1021A,2019/1/14 8:00
125,1023A,2019/1/14 8:00
88,1024A,2019/1/14 8:00
120,1026A,2019/1/14 8:00
68,1027A,2019/1/14 8:00
80,1029A,2019/1/14 8:00
101,1030A,2019/1/14 8:00
101,1031A,2019/1/14 8:00
110,1032A,2019/1/14 8:00
105,1033A,2019/1/14 8:00
106,1034A,2019/1/14 8:00
21,1035A,2019/1/14 8:00
126,1036A,2019/1/14 8:00
110,1037A,2019/1/14 8:00
109,1038A,2019/1/14 8:00
91,1039A,2019/1/14 8:00
108,1040A,2019/1/14 8:00
113,1041A,2019/1/14 8:00
52,1042A,2019/1/14 8:00
72,1043A,2019/1/14 8:00
76,1044A,2019/1/14 8:00
75,1046A,2019/1/14 8:00
50,1047A,2019/1/14 8:00
48,1048A,2019/1/14 8:00
47,1049A,2019/1/14 8:00
54,1050A,2019/1/14 8:00
101,1051A,2019/1/14 8:00
97,1052A,2019/1/14 8:00
76,1053A,2019/1/14 8:00
96,1054A,2019/1/14 8:00
80,1055A,2019/1/14 8:00
98,1056A,2019/1/14 8:00
25,1057A,2019/1/14 8:00
32,1059A,2019/1/14 8:00
24,1060A,2019/1/14 8:00
12,1061A,2019/1/14 8:00
54,1062A,2019/1/14 8:00
40,1063A,2019/1/14 8:00
43,1064A,2019/1/14 8:00
45,1065A,2019/1/14 8:00
39,1066A,2019/1/14 8:00
79,1067A,2019/1/14 8:00
94,1068A,2019/1/14 8:00
90,1070A,2019/1/14 8:00
88,1071A,2019/1/14 8:00
101,1072A,2019/1/14 8:00
102,1073A,2019/1/14 8:00
66,1074A,2019/1/14 8:00
61,1075A,2019/1/14 8:00
93,1077A,2019/1/14 8:00
60,1078A,2019/1/14 8:00
62,1079A,2019/1/14 8:00
99,1080A,2019/1/14 8:00
78,1081A,2019/1/14 8:00
41,1083A,2019/1/14 8:00
94,1084A,2019/1/14 8:00
91,1085A,2019/1/14 8:00
74,1086A,2019/1/14 8:00
76,1087A,2019/1/14 8:00
66,1088A,2019/1/14 8:00
89,1089A,2019/1/14 8:00
59,1090A,2019/1/14 8:00
79,1091A,2019/1/14 8:00
86,1092A,2019/1/14 8:00
70,1093A,2019/1/14 8:00
64,1094A,2019/1/14 8:00
71,1095A,2019/1/14 8:00
70,1096A,2019/1/14 8:00
63,1097A,2019/1/14 8:00
54,1098A,2019/1/14 8:00
58,1099A,2019/1/14 8:00
61,1100A,2019/1/14 8:00
58,1102A,2019/1/14 8:00
71,1103A,2019/1/14 8:00
72,1104A,2019/1/14 8:00
60,1105A,2019/1/14 8:00
72,1106A,2019/1/14 8:00
68,1108A,2019/1/14 8:00
62,1109A,2019/1/14 8:00
58,1110A,2019/1/14 8:00
56,1111A,2019/1/14 8:00
